"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3822","should change site language to German","Language Functionality Spec","Sat Feb 07 12:55:40 UTC 2026","passed","Sat Feb 07 12:55:44 UTC 2026","","","",""
"","3334","should return at least one result for a common search query","Search Functionality Spec","Sat Feb 07 12:55:51 UTC 2026","passed","Sat Feb 07 12:55:54 UTC 2026","","","",""
"","2978","should return a proper message for a non-existing movie","Search Functionality Spec","Sat Feb 07 12:55:57 UTC 2026","passed","Sat Feb 07 12:56:00 UTC 2026","","","",""
"","12636","should show error when email is missing","User Access Management Spec","Sat Feb 07 12:57:27 UTC 2026","broken","Sat Feb 07 12:57:40 UTC 2026","","Negative Tests with invalid credentials","",""
"","117","should create an auth token","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:11 UTC 2026","","","",""
"","10982","should filter movies by Number of Votes","Filter Functionality Spec","Sat Feb 07 12:55:46 UTC 2026","passed","Sat Feb 07 12:55:57 UTC 2026","","","",""
"","23","should return 404 when fetching deleted booking","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:12 UTC 2026","","","",""
"","4422","should return correct results for a valid search query","Search Functionality Spec","Sat Feb 07 12:55:46 UTC 2026","passed","Sat Feb 07 12:55:51 UTC 2026","","","",""
"","12146","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sat Feb 07 12:55:57 UTC 2026","passed","Sat Feb 07 12:56:10 UTC 2026","","","",""
"","25","should update the booking","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:11 UTC 2026","","","",""
"","3555","should contain Spanish in the list","Language Functionality Spec","Sat Feb 07 12:55:37 UTC 2026","passed","Sat Feb 07 12:55:40 UTC 2026","","","",""
"","12988","should filter movie by User Rating","Filter Functionality Spec","Sat Feb 07 12:55:33 UTC 2026","passed","Sat Feb 07 12:55:46 UTC 2026","","","",""
"","11499","should show error when email not exists","User Access Management Spec","Sat Feb 07 12:57:52 UTC 2026","broken","Sat Feb 07 12:58:03 UTC 2026","","Negative Tests with invalid credentials","",""
"","26","should delete the booking","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:11 UTC 2026","","","",""
"","1","should login successfully with valid credentials","","Sat Feb 07 12:58:03 UTC 2026","skipped","Sat Feb 07 12:58:03 UTC 2026","","","",""
"","22","should create a new booking","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:11 UTC 2026","","","",""
"","2836","should verify that each result contains a title and a working link","Search Functionality Spec","Sat Feb 07 12:55:54 UTC 2026","passed","Sat Feb 07 12:55:57 UTC 2026","","","",""
"","3328","should open language selector and display available languages","Language Functionality Spec","Sat Feb 07 12:55:33 UTC 2026","passed","Sat Feb 07 12:55:37 UTC 2026","","","",""
"","11844","should show error for invalid email format","User Access Management Spec","Sat Feb 07 12:57:40 UTC 2026","broken","Sat Feb 07 12:57:52 UTC 2026","","Negative Tests with invalid credentials","",""
"","25","should get the created booking","restful-booker API tests","Sat Feb 07 12:56:11 UTC 2026","passed","Sat Feb 07 12:56:11 UTC 2026","","","",""
