"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10915","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Apr 30 10:10:24 UTC 2026","broken","Thu Apr 30 10:10:35 UTC 2026","","","",""
"","5091","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Apr 30 10:09:46 UTC 2026","failed","Thu Apr 30 10:09:51 UTC 2026","","","",""
"","10784","should filter movie by User Rating","Filter Functionality Spec","Thu Apr 30 10:10:03 UTC 2026","broken","Thu Apr 30 10:10:13 UTC 2026","","","",""
"","13903","should show error when email is missing","User Access Management Spec","Thu Apr 30 10:11:21 UTC 2026","broken","Thu Apr 30 10:11:34 UTC 2026","","Negative Tests with invalid credentials","",""
"","7","should update the booking","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","11","should return 404 when fetching deleted booking","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","7","should create a new booking","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","12034","should show error when email not exists","User Access Management Spec","Thu Apr 30 10:11:46 UTC 2026","broken","Thu Apr 30 10:11:58 UTC 2026","","Negative Tests with invalid credentials","",""
"","11164","should filter movies by Number of Votes","Filter Functionality Spec","Thu Apr 30 10:10:13 UTC 2026","broken","Thu Apr 30 10:10:24 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Thu Apr 30 10:11:58 UTC 2026","skipped","Thu Apr 30 10:11:58 UTC 2026","","","",""
"","42","should create an auth token","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","3777","should change site language to German","Language Functionality Spec","Thu Apr 30 10:08:49 UTC 2026","passed","Thu Apr 30 10:08:53 UTC 2026","","","",""
"","5110","should open language selector and display available languages","Language Functionality Spec","Thu Apr 30 10:08:42 UTC 2026","passed","Thu Apr 30 10:08:47 UTC 2026","","","",""
"","4443","should return correct results for a valid search query","Search Functionality Spec","Thu Apr 30 10:09:38 UTC 2026","passed","Thu Apr 30 10:09:43 UTC 2026","","","",""
"","3481","should return at least one result for a common search query","Search Functionality Spec","Thu Apr 30 10:09:43 UTC 2026","passed","Thu Apr 30 10:09:46 UTC 2026","","","",""
"","2363","should contain Spanish in the list","Language Functionality Spec","Thu Apr 30 10:08:47 UTC 2026","passed","Thu Apr 30 10:08:49 UTC 2026","","","",""
"","7","should get the created booking","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","2753","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Apr 30 10:09:51 UTC 2026","passed","Thu Apr 30 10:09:54 UTC 2026","","","",""
"","7","should delete the booking","restful-booker API tests","Thu Apr 30 10:10:37 UTC 2026","passed","Thu Apr 30 10:10:37 UTC 2026","","","",""
"","11832","should show error for invalid email format","User Access Management Spec","Thu Apr 30 10:11:34 UTC 2026","broken","Thu Apr 30 10:11:46 UTC 2026","","Negative Tests with invalid credentials","",""
