"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10546","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Wed Mar 04 05:10:16 UTC 2026","passed","Wed Mar 04 05:10:26 UTC 2026","","","",""
"","162","should create an auth token","restful-booker API tests","Wed Mar 04 05:10:28 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
"","3168","should verify that each result contains a title and a working link","Search Functionality Spec","Wed Mar 04 05:10:14 UTC 2026","passed","Wed Mar 04 05:10:17 UTC 2026","","","",""
"","36","should delete the booking","restful-booker API tests","Wed Mar 04 05:10:29 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
"","10321","should filter movies by Number of Votes","Filter Functionality Spec","Wed Mar 04 05:10:05 UTC 2026","passed","Wed Mar 04 05:10:15 UTC 2026","","","",""
"","35","should return 404 when fetching deleted booking","restful-booker API tests","Wed Mar 04 05:10:29 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
"","2088","should contain Spanish in the list","Language Functionality Spec","Wed Mar 04 05:09:57 UTC 2026","passed","Wed Mar 04 05:09:59 UTC 2026","","","",""
"","12089","should show error for invalid email format","User Access Management Spec","Wed Mar 04 05:11:57 UTC 2026","broken","Wed Mar 04 05:12:09 UTC 2026","","Negative Tests with invalid credentials","",""
"","33","should get the created booking","restful-booker API tests","Wed Mar 04 05:10:29 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
"","2853","should return a proper message for a non-existing movie","Search Functionality Spec","Wed Mar 04 05:10:17 UTC 2026","passed","Wed Mar 04 05:10:20 UTC 2026","","","",""
"","1","should login successfully with valid credentials","","Wed Mar 04 05:12:21 UTC 2026","skipped","Wed Mar 04 05:12:21 UTC 2026","","","",""
"","11683","should show error when email not exists","User Access Management Spec","Wed Mar 04 05:12:09 UTC 2026","broken","Wed Mar 04 05:12:21 UTC 2026","","Negative Tests with invalid credentials","",""
"","3210","should open language selector and display available languages","Language Functionality Spec","Wed Mar 04 05:09:53 UTC 2026","passed","Wed Mar 04 05:09:57 UTC 2026","","","",""
"","6011","should return correct results for a valid search query","Search Functionality Spec","Wed Mar 04 05:10:05 UTC 2026","passed","Wed Mar 04 05:10:11 UTC 2026","","","",""
"","36","should update the booking","restful-booker API tests","Wed Mar 04 05:10:29 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
"","11380","should filter movie by User Rating","Filter Functionality Spec","Wed Mar 04 05:09:53 UTC 2026","passed","Wed Mar 04 05:10:05 UTC 2026","","","",""
"","3513","should change site language to German","Language Functionality Spec","Wed Mar 04 05:09:59 UTC 2026","passed","Wed Mar 04 05:10:02 UTC 2026","","","",""
"","12580","should show error when email is missing","User Access Management Spec","Wed Mar 04 05:11:45 UTC 2026","broken","Wed Mar 04 05:11:57 UTC 2026","","Negative Tests with invalid credentials","",""
"","3285","should return at least one result for a common search query","Search Functionality Spec","Wed Mar 04 05:10:11 UTC 2026","passed","Wed Mar 04 05:10:14 UTC 2026","","","",""
"","32","should create a new booking","restful-booker API tests","Wed Mar 04 05:10:29 UTC 2026","passed","Wed Mar 04 05:10:29 UTC 2026","","","",""
