"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2602","should verify that each result contains a title and a working link","Search Functionality Spec","Fri May 08 22:58:18 UTC 2026","failed","Fri May 08 22:58:21 UTC 2026","","","",""
"","29","should delete the booking","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","12249","should show error when email not exists","User Access Management Spec","Fri May 08 23:00:16 UTC 2026","broken","Fri May 08 23:00:28 UTC 2026","","Negative Tests with invalid credentials","",""
"","144","should create an auth token","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","3155","should return a proper message for a non-existing movie","Search Functionality Spec","Fri May 08 22:58:21 UTC 2026","passed","Fri May 08 22:58:24 UTC 2026","","","",""
"","3793","should open language selector and display available languages","Language Functionality Spec","Fri May 08 22:57:23 UTC 2026","passed","Fri May 08 22:57:27 UTC 2026","","","",""
"","29","should return 404 when fetching deleted booking","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","29","should update the booking","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","10663","should filter movie by User Rating","Filter Functionality Spec","Fri May 08 22:58:41 UTC 2026","broken","Fri May 08 22:58:51 UTC 2026","","","",""
"","4814","should return correct results for a valid search query","Search Functionality Spec","Fri May 08 22:58:11 UTC 2026","passed","Fri May 08 22:58:16 UTC 2026","","","",""
"","1459","should contain Spanish in the list","Language Functionality Spec","Fri May 08 22:57:27 UTC 2026","passed","Fri May 08 22:57:28 UTC 2026","","","",""
"","13183","should show error when email is missing","User Access Management Spec","Fri May 08 22:59:51 UTC 2026","broken","Fri May 08 23:00:04 UTC 2026","","Negative Tests with invalid credentials","",""
"","3000","should change site language to German","Language Functionality Spec","Fri May 08 22:57:28 UTC 2026","passed","Fri May 08 22:57:31 UTC 2026","","","",""
"","2480","should return at least one result for a common search query","Search Functionality Spec","Fri May 08 22:58:16 UTC 2026","passed","Fri May 08 22:58:18 UTC 2026","","","",""
"","28","should get the created booking","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","1","should login successfully with valid credentials","","Fri May 08 23:00:28 UTC 2026","skipped","Fri May 08 23:00:28 UTC 2026","","","",""
"","11782","should filter movies by Number of Votes","Filter Functionality Spec","Fri May 08 22:58:51 UTC 2026","broken","Fri May 08 22:59:03 UTC 2026","","","",""
"","29","should create a new booking","restful-booker API tests","Fri May 08 22:59:16 UTC 2026","passed","Fri May 08 22:59:16 UTC 2026","","","",""
"","11983","should show error for invalid email format","User Access Management Spec","Fri May 08 23:00:04 UTC 2026","broken","Fri May 08 23:00:16 UTC 2026","","Negative Tests with invalid credentials","",""
"","11059","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Fri May 08 22:59:03 UTC 2026","broken","Fri May 08 22:59:14 UTC 2026","","","",""
