"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","should create an auth token","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","11696","should show error when email not exists","User Access Management Spec","Thu Feb 05 07:05:20 UTC 2026","broken","Thu Feb 05 07:05:32 UTC 2026","","Negative Tests with invalid credentials","",""
"","7","should get the created booking","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","20","should update the booking","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","12584","should show error when email is missing","User Access Management Spec","Thu Feb 05 07:04:56 UTC 2026","broken","Thu Feb 05 07:05:08 UTC 2026","","Negative Tests with invalid credentials","",""
"","0","should login successfully with valid credentials","","Thu Feb 05 07:05:32 UTC 2026","skipped","Thu Feb 05 07:05:32 UTC 2026","","","",""
"","3272","should open language selector and display available languages","Language Functionality Spec","Thu Feb 05 07:03:08 UTC 2026","passed","Thu Feb 05 07:03:11 UTC 2026","","","",""
"","11529","should show error for invalid email format","User Access Management Spec","Thu Feb 05 07:05:08 UTC 2026","broken","Thu Feb 05 07:05:20 UTC 2026","","Negative Tests with invalid credentials","",""
"","7","should create a new booking","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","3546","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Feb 05 07:03:25 UTC 2026","passed","Thu Feb 05 07:03:28 UTC 2026","","","",""
"","7","should return 404 when fetching deleted booking","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","8","should delete the booking","restful-booker API tests","Thu Feb 05 07:03:43 UTC 2026","passed","Thu Feb 05 07:03:43 UTC 2026","","","",""
"","3101","should change site language to German","Language Functionality Spec","Thu Feb 05 07:03:13 UTC 2026","passed","Thu Feb 05 07:03:16 UTC 2026","","","",""
"","2741","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Feb 05 07:03:28 UTC 2026","passed","Thu Feb 05 07:03:31 UTC 2026","","","",""
"","3388","should return correct results for a valid search query","Search Functionality Spec","Thu Feb 05 07:03:18 UTC 2026","passed","Thu Feb 05 07:03:22 UTC 2026","","","",""
"","2951","should return at least one result for a common search query","Search Functionality Spec","Thu Feb 05 07:03:22 UTC 2026","passed","Thu Feb 05 07:03:25 UTC 2026","","","",""
"","1516","should contain Spanish in the list","Language Functionality Spec","Thu Feb 05 07:03:11 UTC 2026","passed","Thu Feb 05 07:03:13 UTC 2026","","","",""
"","12682","should filter movie by User Rating","Filter Functionality Spec","Thu Feb 05 07:03:08 UTC 2026","passed","Thu Feb 05 07:03:21 UTC 2026","","","",""
"","10247","should filter movies by Number of Votes","Filter Functionality Spec","Thu Feb 05 07:03:21 UTC 2026","passed","Thu Feb 05 07:03:31 UTC 2026","","","",""
"","10506","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Feb 05 07:03:31 UTC 2026","passed","Thu Feb 05 07:03:41 UTC 2026","","","",""
