"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3758","should return correct results for a valid search query","Search Functionality Spec","Sun Apr 12 16:43:38 UTC 2026","passed","Sun Apr 12 16:43:41 UTC 2026","","","",""
"","10675","should filter movie by User Rating","Filter Functionality Spec","Sun Apr 12 16:44:09 UTC 2026","broken","Sun Apr 12 16:44:20 UTC 2026","","","",""
"","57","should return 404 when fetching deleted booking","restful-booker API tests","Sun Apr 12 16:44:45 UTC 2026","passed","Sun Apr 12 16:44:45 UTC 2026","","","",""
"","57","should update the booking","restful-booker API tests","Sun Apr 12 16:44:45 UTC 2026","passed","Sun Apr 12 16:44:45 UTC 2026","","","",""
"","3220","should open language selector and display available languages","Language Functionality Spec","Sun Apr 12 16:42:52 UTC 2026","passed","Sun Apr 12 16:42:55 UTC 2026","","","",""
"","11728","should show error for invalid email format","User Access Management Spec","Sun Apr 12 16:45:30 UTC 2026","broken","Sun Apr 12 16:45:42 UTC 2026","","Negative Tests with invalid credentials","",""
"","11178","should filter movies by Number of Votes","Filter Functionality Spec","Sun Apr 12 16:44:20 UTC 2026","broken","Sun Apr 12 16:44:31 UTC 2026","","","",""
"","13679","should show error when email is missing","User Access Management Spec","Sun Apr 12 16:45:16 UTC 2026","broken","Sun Apr 12 16:45:30 UTC 2026","","Negative Tests with invalid credentials","",""
"","2855","should return at least one result for a common search query","Search Functionality Spec","Sun Apr 12 16:43:41 UTC 2026","passed","Sun Apr 12 16:43:44 UTC 2026","","","",""
"","57","should create a new booking","restful-booker API tests","Sun Apr 12 16:44:44 UTC 2026","passed","Sun Apr 12 16:44:45 UTC 2026","","","",""
"","3059","should return a proper message for a non-existing movie","Search Functionality Spec","Sun Apr 12 16:43:47 UTC 2026","passed","Sun Apr 12 16:43:50 UTC 2026","","","",""
"","11449","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sun Apr 12 16:44:31 UTC 2026","broken","Sun Apr 12 16:44:43 UTC 2026","","","",""
"","58","should get the created booking","restful-booker API tests","Sun Apr 12 16:44:45 UTC 2026","passed","Sun Apr 12 16:44:45 UTC 2026","","","",""
"","12033","should show error when email not exists","User Access Management Spec","Sun Apr 12 16:45:42 UTC 2026","broken","Sun Apr 12 16:45:54 UTC 2026","","Negative Tests with invalid credentials","",""
"","257","should create an auth token","restful-booker API tests","Sun Apr 12 16:44:44 UTC 2026","passed","Sun Apr 12 16:44:44 UTC 2026","","","",""
"","1230","should contain Spanish in the list","Language Functionality Spec","Sun Apr 12 16:42:55 UTC 2026","passed","Sun Apr 12 16:42:57 UTC 2026","","","",""
"","57","should delete the booking","restful-booker API tests","Sun Apr 12 16:44:45 UTC 2026","passed","Sun Apr 12 16:44:45 UTC 2026","","","",""
"","2718","should verify that each result contains a title and a working link","Search Functionality Spec","Sun Apr 12 16:43:44 UTC 2026","failed","Sun Apr 12 16:43:47 UTC 2026","","","",""
"","3161","should change site language to German","Language Functionality Spec","Sun Apr 12 16:42:57 UTC 2026","passed","Sun Apr 12 16:43:00 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Sun Apr 12 16:45:54 UTC 2026","skipped","Sun Apr 12 16:45:54 UTC 2026","","","",""
