"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3294","should verify that each result contains a title and a working link","Search Functionality Spec","Fri Jan 23 20:30:07 UTC 2026","passed","Fri Jan 23 20:30:10 UTC 2026","","","",""
"","70","should return 404 when fetching deleted booking","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:31:00 UTC 2026","","","",""
"","70","should create a new booking","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:30:59 UTC 2026","","","",""
"","4083","should open language selector and display available languages","Language Functionality Spec","Fri Jan 23 20:29:46 UTC 2026","passed","Fri Jan 23 20:29:50 UTC 2026","","","",""
"","11442","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Fri Jan 23 20:30:45 UTC 2026","passed","Fri Jan 23 20:30:57 UTC 2026","","","",""
"","296","should create an auth token","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:30:59 UTC 2026","","","",""
"","6003","should return at least one result for a common search query","Search Functionality Spec","Fri Jan 23 20:30:01 UTC 2026","passed","Fri Jan 23 20:30:07 UTC 2026","","","",""
"","12018","should show error for invalid email format","User Access Management Spec","Fri Jan 23 20:31:54 UTC 2026","broken","Fri Jan 23 20:32:06 UTC 2026","","Negative Tests with invalid credentials","",""
"","8801","should filter movies by Number of Votes","Filter Functionality Spec","Fri Jan 23 20:30:37 UTC 2026","passed","Fri Jan 23 20:30:45 UTC 2026","","","",""
"","2867","should change site language to German","Language Functionality Spec","Fri Jan 23 20:29:52 UTC 2026","passed","Fri Jan 23 20:29:54 UTC 2026","","","",""
"","69","should update the booking","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:30:59 UTC 2026","","","",""
"","71","should delete the booking","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:30:59 UTC 2026","","","",""
"","2453","should return a proper message for a non-existing movie","Search Functionality Spec","Fri Jan 23 20:30:10 UTC 2026","passed","Fri Jan 23 20:30:12 UTC 2026","","","",""
"","12113","should show error when email not exists","User Access Management Spec","Fri Jan 23 20:32:06 UTC 2026","broken","Fri Jan 23 20:32:18 UTC 2026","","Negative Tests with invalid credentials","",""
"","1502","should contain Spanish in the list","Language Functionality Spec","Fri Jan 23 20:29:50 UTC 2026","passed","Fri Jan 23 20:29:51 UTC 2026","","","",""
"","69","should get the created booking","restful-booker API tests","Fri Jan 23 20:30:59 UTC 2026","passed","Fri Jan 23 20:30:59 UTC 2026","","","",""
"","9453","should filter movie by User Rating","Filter Functionality Spec","Fri Jan 23 20:30:27 UTC 2026","passed","Fri Jan 23 20:30:37 UTC 2026","","","",""
"","3469","should return correct results for a valid search query","Search Functionality Spec","Fri Jan 23 20:29:57 UTC 2026","passed","Fri Jan 23 20:30:01 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Fri Jan 23 20:32:18 UTC 2026","skipped","Fri Jan 23 20:32:18 UTC 2026","","","",""
"","13312","should show error when email is missing","User Access Management Spec","Fri Jan 23 20:31:41 UTC 2026","broken","Fri Jan 23 20:31:54 UTC 2026","","Negative Tests with invalid credentials","",""
