"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11203","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Feb 19 20:37:13 UTC 2026","passed","Thu Feb 19 20:37:24 UTC 2026","","","",""
"","2292","should contain Spanish in the list","Language Functionality Spec","Thu Feb 19 20:36:52 UTC 2026","passed","Thu Feb 19 20:36:54 UTC 2026","","","",""
"","11665","should show error for invalid email format","User Access Management Spec","Thu Feb 19 20:38:54 UTC 2026","broken","Thu Feb 19 20:39:05 UTC 2026","","Negative Tests with invalid credentials","",""
"","26","should update the booking","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","3215","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Feb 19 20:37:07 UTC 2026","passed","Thu Feb 19 20:37:10 UTC 2026","","","",""
"","11225","should filter movies by Number of Votes","Filter Functionality Spec","Thu Feb 19 20:37:02 UTC 2026","passed","Thu Feb 19 20:37:13 UTC 2026","","","",""
"","3885","should return at least one result for a common search query","Search Functionality Spec","Thu Feb 19 20:37:03 UTC 2026","passed","Thu Feb 19 20:37:07 UTC 2026","","","",""
"","127","should create an auth token","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","2952","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Feb 19 20:37:10 UTC 2026","passed","Thu Feb 19 20:37:13 UTC 2026","","","",""
"","12252","should show error when email not exists","User Access Management Spec","Thu Feb 19 20:39:05 UTC 2026","broken","Thu Feb 19 20:39:18 UTC 2026","","Negative Tests with invalid credentials","",""
"","2933","should change site language to German","Language Functionality Spec","Thu Feb 19 20:36:54 UTC 2026","passed","Thu Feb 19 20:36:57 UTC 2026","","","",""
"","12431","should show error when email is missing","User Access Management Spec","Thu Feb 19 20:38:41 UTC 2026","broken","Thu Feb 19 20:38:54 UTC 2026","","Negative Tests with invalid credentials","",""
"","1","should login successfully with valid credentials","","Thu Feb 19 20:39:18 UTC 2026","skipped","Thu Feb 19 20:39:18 UTC 2026","","","",""
"","24","should create a new booking","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","24","should get the created booking","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","4295","should return correct results for a valid search query","Search Functionality Spec","Thu Feb 19 20:36:59 UTC 2026","passed","Thu Feb 19 20:37:03 UTC 2026","","","",""
"","24","should return 404 when fetching deleted booking","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","25","should delete the booking","restful-booker API tests","Thu Feb 19 20:37:26 UTC 2026","passed","Thu Feb 19 20:37:26 UTC 2026","","","",""
"","4490","should open language selector and display available languages","Language Functionality Spec","Thu Feb 19 20:36:47 UTC 2026","passed","Thu Feb 19 20:36:52 UTC 2026","","","",""
"","14182","should filter movie by User Rating","Filter Functionality Spec","Thu Feb 19 20:36:47 UTC 2026","passed","Thu Feb 19 20:37:02 UTC 2026","","","",""
