"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11766","should show error when email not exists","User Access Management Spec","Tue Feb 24 13:15:28 UTC 2026","broken","Tue Feb 24 13:15:40 UTC 2026","","Negative Tests with invalid credentials","",""
"","13576","should show error when email is missing","User Access Management Spec","Tue Feb 24 13:15:02 UTC 2026","broken","Tue Feb 24 13:15:15 UTC 2026","","Negative Tests with invalid credentials","",""
"","2792","should verify that each result contains a title and a working link","Search Functionality Spec","Tue Feb 24 13:13:42 UTC 2026","passed","Tue Feb 24 13:13:45 UTC 2026","","","",""
"","131","should create an auth token","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
"","22","should get the created booking","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
"","9253","should return correct results for a valid search query","Search Functionality Spec","Tue Feb 24 13:13:31 UTC 2026","passed","Tue Feb 24 13:13:40 UTC 2026","","","",""
"","2525","should contain Spanish in the list","Language Functionality Spec","Tue Feb 24 13:13:06 UTC 2026","passed","Tue Feb 24 13:13:09 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Tue Feb 24 13:15:40 UTC 2026","skipped","Tue Feb 24 13:15:40 UTC 2026","","","",""
"","2650","should return a proper message for a non-existing movie","Search Functionality Spec","Tue Feb 24 13:13:45 UTC 2026","passed","Tue Feb 24 13:13:48 UTC 2026","","","",""
"","22","should delete the booking","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
"","10681","should filter movies by Number of Votes","Filter Functionality Spec","Tue Feb 24 13:13:16 UTC 2026","passed","Tue Feb 24 13:13:27 UTC 2026","","","",""
"","5239","should change site language to German","Language Functionality Spec","Tue Feb 24 13:13:09 UTC 2026","passed","Tue Feb 24 13:13:14 UTC 2026","","","",""
"","12578","should show error for invalid email format","User Access Management Spec","Tue Feb 24 13:15:15 UTC 2026","broken","Tue Feb 24 13:15:28 UTC 2026","","Negative Tests with invalid credentials","",""
"","2584","should return at least one result for a common search query","Search Functionality Spec","Tue Feb 24 13:13:40 UTC 2026","passed","Tue Feb 24 13:13:42 UTC 2026","","","",""
"","13631","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Tue Feb 24 13:13:27 UTC 2026","passed","Tue Feb 24 13:13:40 UTC 2026","","","",""
"","21","should return 404 when fetching deleted booking","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
"","4034","should open language selector and display available languages","Language Functionality Spec","Tue Feb 24 13:13:02 UTC 2026","passed","Tue Feb 24 13:13:06 UTC 2026","","","",""
"","23","should update the booking","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
"","13687","should filter movie by User Rating","Filter Functionality Spec","Tue Feb 24 13:13:02 UTC 2026","passed","Tue Feb 24 13:13:16 UTC 2026","","","",""
"","23","should create a new booking","restful-booker API tests","Tue Feb 24 13:13:50 UTC 2026","passed","Tue Feb 24 13:13:50 UTC 2026","","","",""
