"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3205","should open language selector and display available languages","Language Functionality Spec","Sat Feb 07 06:48:04 UTC 2026","passed","Sat Feb 07 06:48:07 UTC 2026","","","",""
"","11883","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sat Feb 07 06:48:25 UTC 2026","passed","Sat Feb 07 06:48:37 UTC 2026","","","",""
"","12310","should show error for invalid email format","User Access Management Spec","Sat Feb 07 06:50:04 UTC 2026","broken","Sat Feb 07 06:50:16 UTC 2026","","Negative Tests with invalid credentials","",""
"","3251","should change site language to German","Language Functionality Spec","Sat Feb 07 06:48:08 UTC 2026","passed","Sat Feb 07 06:48:12 UTC 2026","","","",""
"","2939","should return a proper message for a non-existing movie","Search Functionality Spec","Sat Feb 07 06:48:25 UTC 2026","passed","Sat Feb 07 06:48:28 UTC 2026","","","",""
"","12365","should show error when email not exists","User Access Management Spec","Sat Feb 07 06:50:16 UTC 2026","broken","Sat Feb 07 06:50:28 UTC 2026","","Negative Tests with invalid credentials","",""
"","1553","should contain Spanish in the list","Language Functionality Spec","Sat Feb 07 06:48:07 UTC 2026","passed","Sat Feb 07 06:48:08 UTC 2026","","","",""
"","3212","should verify that each result contains a title and a working link","Search Functionality Spec","Sat Feb 07 06:48:22 UTC 2026","passed","Sat Feb 07 06:48:25 UTC 2026","","","",""
"","3293","should return at least one result for a common search query","Search Functionality Spec","Sat Feb 07 06:48:18 UTC 2026","passed","Sat Feb 07 06:48:22 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Sat Feb 07 06:50:28 UTC 2026","skipped","Sat Feb 07 06:50:28 UTC 2026","","","",""
"","21","should get the created booking","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
"","23","should delete the booking","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
"","23","should update the booking","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
"","9769","should filter movies by Number of Votes","Filter Functionality Spec","Sat Feb 07 06:48:16 UTC 2026","passed","Sat Feb 07 06:48:25 UTC 2026","","","",""
"","21","should return 404 when fetching deleted booking","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
"","22","should create a new booking","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
"","12356","should show error when email is missing","User Access Management Spec","Sat Feb 07 06:49:51 UTC 2026","broken","Sat Feb 07 06:50:04 UTC 2026","","Negative Tests with invalid credentials","",""
"","4106","should return correct results for a valid search query","Search Functionality Spec","Sat Feb 07 06:48:14 UTC 2026","passed","Sat Feb 07 06:48:18 UTC 2026","","","",""
"","11955","should filter movie by User Rating","Filter Functionality Spec","Sat Feb 07 06:48:04 UTC 2026","passed","Sat Feb 07 06:48:16 UTC 2026","","","",""
"","114","should create an auth token","restful-booker API tests","Sat Feb 07 06:48:39 UTC 2026","passed","Sat Feb 07 06:48:39 UTC 2026","","","",""
