"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5206","should open language selector and display available languages","Language Functionality Spec","Sat Feb 21 02:12:08 UTC 2026","passed","Sat Feb 21 02:12:13 UTC 2026","","","",""
"","3439","should return a proper message for a non-existing movie","Search Functionality Spec","Sat Feb 21 02:12:33 UTC 2026","passed","Sat Feb 21 02:12:37 UTC 2026","","","",""
"","69","should create a new booking","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:47 UTC 2026","","","",""
"","3396","should return at least one result for a common search query","Search Functionality Spec","Sat Feb 21 02:12:26 UTC 2026","passed","Sat Feb 21 02:12:30 UTC 2026","","","",""
"","10238","should filter movies by Number of Votes","Filter Functionality Spec","Sat Feb 21 02:12:23 UTC 2026","passed","Sat Feb 21 02:12:33 UTC 2026","","","",""
"","3598","should verify that each result contains a title and a working link","Search Functionality Spec","Sat Feb 21 02:12:30 UTC 2026","passed","Sat Feb 21 02:12:33 UTC 2026","","","",""
"","68","should get the created booking","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:47 UTC 2026","","","",""
"","69","should delete the booking","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:47 UTC 2026","","","",""
"","68","should return 404 when fetching deleted booking","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:48 UTC 2026","","","",""
"","2612","should contain Spanish in the list","Language Functionality Spec","Sat Feb 21 02:12:13 UTC 2026","passed","Sat Feb 21 02:12:16 UTC 2026","","","",""
"","1","should login successfully with valid credentials","","Sat Feb 21 02:14:41 UTC 2026","skipped","Sat Feb 21 02:14:41 UTC 2026","","","",""
"","11981","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sat Feb 21 02:12:33 UTC 2026","passed","Sat Feb 21 02:12:45 UTC 2026","","","",""
"","11959","should show error for invalid email format","User Access Management Spec","Sat Feb 21 02:14:17 UTC 2026","broken","Sat Feb 21 02:14:29 UTC 2026","","Negative Tests with invalid credentials","",""
"","14721","should filter movie by User Rating","Filter Functionality Spec","Sat Feb 21 02:12:08 UTC 2026","passed","Sat Feb 21 02:12:23 UTC 2026","","","",""
"","307","should create an auth token","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:47 UTC 2026","","","",""
"","12049","should show error when email not exists","User Access Management Spec","Sat Feb 21 02:14:29 UTC 2026","broken","Sat Feb 21 02:14:41 UTC 2026","","Negative Tests with invalid credentials","",""
"","71","should update the booking","restful-booker API tests","Sat Feb 21 02:12:47 UTC 2026","passed","Sat Feb 21 02:12:47 UTC 2026","","","",""
"","3657","should change site language to German","Language Functionality Spec","Sat Feb 21 02:12:16 UTC 2026","passed","Sat Feb 21 02:12:20 UTC 2026","","","",""
"","4223","should return correct results for a valid search query","Search Functionality Spec","Sat Feb 21 02:12:22 UTC 2026","passed","Sat Feb 21 02:12:26 UTC 2026","","","",""
"","13154","should show error when email is missing","User Access Management Spec","Sat Feb 21 02:14:03 UTC 2026","broken","Sat Feb 21 02:14:17 UTC 2026","","Negative Tests with invalid credentials","",""
