"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9766","should filter movie by User Rating","Filter Functionality Spec","Wed Jan 21 10:33:37 UTC 2026","passed","Wed Jan 21 10:33:46 UTC 2026","","","",""
"","10505","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Wed Jan 21 10:33:57 UTC 2026","passed","Wed Jan 21 10:34:08 UTC 2026","","","",""
"","11750","should show error when email not exists","User Access Management Spec","Wed Jan 21 10:35:18 UTC 2026","broken","Wed Jan 21 10:35:30 UTC 2026","","Negative Tests with invalid credentials","",""
"","4520","should verify that each result contains a title and a working link","Search Functionality Spec","Wed Jan 21 10:33:21 UTC 2026","passed","Wed Jan 21 10:33:26 UTC 2026","","","",""
"","43","should update the booking","restful-booker API tests","Wed Jan 21 10:34:10 UTC 2026","passed","Wed Jan 21 10:34:10 UTC 2026","","","",""
"","","should show error for invalid email format","User Access Management Spec","Wed Jan 21 10:35:08 UTC 2026","unknown","","","Negative Tests with invalid credentials","",""
"","189","should create an auth token","restful-booker API tests","Wed Jan 21 10:34:09 UTC 2026","passed","Wed Jan 21 10:34:09 UTC 2026","","","",""
"","41","should return 404 when fetching deleted booking","restful-booker API tests","Wed Jan 21 10:34:10 UTC 2026","passed","Wed Jan 21 10:34:10 UTC 2026","","","",""
"","3714","should open language selector and display available languages","Language Functionality Spec","Wed Jan 21 10:32:52 UTC 2026","passed","Wed Jan 21 10:32:55 UTC 2026","","","",""
"","40","should get the created booking","restful-booker API tests","Wed Jan 21 10:34:10 UTC 2026","passed","Wed Jan 21 10:34:10 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Wed Jan 21 10:35:30 UTC 2026","skipped","Wed Jan 21 10:35:30 UTC 2026","","","",""
"","42","should delete the booking","restful-booker API tests","Wed Jan 21 10:34:10 UTC 2026","passed","Wed Jan 21 10:34:10 UTC 2026","","","",""
"","3284","should contain Spanish in the list","Language Functionality Spec","Wed Jan 21 10:32:56 UTC 2026","passed","Wed Jan 21 10:32:59 UTC 2026","","","",""
"","5652","should change site language to German","Language Functionality Spec","Wed Jan 21 10:32:59 UTC 2026","passed","Wed Jan 21 10:33:05 UTC 2026","","","",""
"","3844","should return a proper message for a non-existing movie","Search Functionality Spec","Wed Jan 21 10:33:26 UTC 2026","passed","Wed Jan 21 10:33:30 UTC 2026","","","",""
"","6173","should return at least one result for a common search query","Search Functionality Spec","Wed Jan 21 10:33:15 UTC 2026","passed","Wed Jan 21 10:33:21 UTC 2026","","","",""
"","40","should create a new booking","restful-booker API tests","Wed Jan 21 10:34:09 UTC 2026","passed","Wed Jan 21 10:34:10 UTC 2026","","","",""
"","12567","should show error when email is missing","User Access Management Spec","Wed Jan 21 10:34:55 UTC 2026","broken","Wed Jan 21 10:35:08 UTC 2026","","Negative Tests with invalid credentials","",""
"","10577","should filter movies by Number of Votes","Filter Functionality Spec","Wed Jan 21 10:33:46 UTC 2026","passed","Wed Jan 21 10:33:57 UTC 2026","","","",""
"","8684","should return correct results for a valid search query","Search Functionality Spec","Wed Jan 21 10:33:07 UTC 2026","passed","Wed Jan 21 10:33:15 UTC 2026","","","",""
