"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4041","should verify that each result contains a title and a working link","Search Functionality Spec","Fri Jan 23 16:35:18 UTC 2026","passed","Fri Jan 23 16:35:22 UTC 2026","","","",""
"","14458","should filter movie by User Rating","Filter Functionality Spec","Fri Jan 23 16:34:58 UTC 2026","passed","Fri Jan 23 16:35:12 UTC 2026","","","",""
"","11947","should show error for invalid email format","User Access Management Spec","Fri Jan 23 16:37:04 UTC 2026","broken","Fri Jan 23 16:37:16 UTC 2026","","Negative Tests with invalid credentials","",""
"","12245","should show error when email not exists","User Access Management Spec","Fri Jan 23 16:37:16 UTC 2026","broken","Fri Jan 23 16:37:28 UTC 2026","","Negative Tests with invalid credentials","",""
"","39","should update the booking","restful-booker API tests","Fri Jan 23 16:35:39 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","13079","should show error when email is missing","User Access Management Spec","Fri Jan 23 16:36:51 UTC 2026","broken","Fri Jan 23 16:37:04 UTC 2026","","Negative Tests with invalid credentials","",""
"","42","should delete the booking","restful-booker API tests","Fri Jan 23 16:35:39 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","4357","should open language selector and display available languages","Language Functionality Spec","Fri Jan 23 16:34:58 UTC 2026","passed","Fri Jan 23 16:35:02 UTC 2026","","","",""
"","39","should create a new booking","restful-booker API tests","Fri Jan 23 16:35:39 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","39","should return 404 when fetching deleted booking","restful-booker API tests","Fri Jan 23 16:35:39 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","3368","should change site language to German","Language Functionality Spec","Fri Jan 23 16:35:04 UTC 2026","passed","Fri Jan 23 16:35:07 UTC 2026","","","",""
"","40","should get the created booking","restful-booker API tests","Fri Jan 23 16:35:39 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","3360","should return at least one result for a common search query","Search Functionality Spec","Fri Jan 23 16:35:15 UTC 2026","passed","Fri Jan 23 16:35:18 UTC 2026","","","",""
"","11746","should filter movies by Number of Votes","Filter Functionality Spec","Fri Jan 23 16:35:12 UTC 2026","passed","Fri Jan 23 16:35:24 UTC 2026","","","",""
"","12814","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Fri Jan 23 16:35:24 UTC 2026","passed","Fri Jan 23 16:35:37 UTC 2026","","","",""
"","4630","should return correct results for a valid search query","Search Functionality Spec","Fri Jan 23 16:35:10 UTC 2026","passed","Fri Jan 23 16:35:15 UTC 2026","","","",""
"","2192","should contain Spanish in the list","Language Functionality Spec","Fri Jan 23 16:35:02 UTC 2026","passed","Fri Jan 23 16:35:04 UTC 2026","","","",""
"","220","should create an auth token","restful-booker API tests","Fri Jan 23 16:35:38 UTC 2026","passed","Fri Jan 23 16:35:39 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Fri Jan 23 16:37:28 UTC 2026","skipped","Fri Jan 23 16:37:28 UTC 2026","","","",""
"","2898","should return a proper message for a non-existing movie","Search Functionality Spec","Fri Jan 23 16:35:22 UTC 2026","passed","Fri Jan 23 16:35:25 UTC 2026","","","",""
