"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","should delete the booking","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
"","3676","should open language selector and display available languages","Language Functionality Spec","Thu Jan 22 18:37:41 UTC 2026","passed","Thu Jan 22 18:37:44 UTC 2026","","","",""
"","296","should create an auth token","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
"","1686","should contain Spanish in the list","Language Functionality Spec","Thu Jan 22 18:37:44 UTC 2026","passed","Thu Jan 22 18:37:46 UTC 2026","","","",""
"","71","should get the created booking","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
"","11188","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Jan 22 18:38:04 UTC 2026","passed","Thu Jan 22 18:38:15 UTC 2026","","","",""
"","3504","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Jan 22 18:38:02 UTC 2026","passed","Thu Jan 22 18:38:06 UTC 2026","","","",""
"","4233","should return correct results for a valid search query","Search Functionality Spec","Thu Jan 22 18:37:51 UTC 2026","passed","Thu Jan 22 18:37:55 UTC 2026","","","",""
"","3340","should return at least one result for a common search query","Search Functionality Spec","Thu Jan 22 18:37:55 UTC 2026","passed","Thu Jan 22 18:37:58 UTC 2026","","","",""
"","11983","should filter movie by User Rating","Filter Functionality Spec","Thu Jan 22 18:37:41 UTC 2026","passed","Thu Jan 22 18:37:53 UTC 2026","","","",""
"","4057","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Jan 22 18:37:58 UTC 2026","passed","Thu Jan 22 18:38:02 UTC 2026","","","",""
"","11816","should show error when email not exists","User Access Management Spec","Thu Jan 22 18:39:59 UTC 2026","broken","Thu Jan 22 18:40:11 UTC 2026","","Negative Tests with invalid credentials","",""
"","10994","should filter movies by Number of Votes","Filter Functionality Spec","Thu Jan 22 18:37:53 UTC 2026","passed","Thu Jan 22 18:38:04 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Thu Jan 22 18:40:11 UTC 2026","skipped","Thu Jan 22 18:40:11 UTC 2026","","","",""
"","11948","should show error for invalid email format","User Access Management Spec","Thu Jan 22 18:39:47 UTC 2026","broken","Thu Jan 22 18:39:59 UTC 2026","","Negative Tests with invalid credentials","",""
"","71","should create a new booking","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
"","12806","should show error when email is missing","User Access Management Spec","Thu Jan 22 18:39:35 UTC 2026","broken","Thu Jan 22 18:39:47 UTC 2026","","Negative Tests with invalid credentials","",""
"","2722","should change site language to German","Language Functionality Spec","Thu Jan 22 18:37:46 UTC 2026","passed","Thu Jan 22 18:37:49 UTC 2026","","","",""
"","71","should return 404 when fetching deleted booking","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
"","73","should update the booking","restful-booker API tests","Thu Jan 22 18:38:17 UTC 2026","passed","Thu Jan 22 18:38:17 UTC 2026","","","",""
