"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","should return 404 when fetching deleted booking","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","4251","should change site language to German","Language Functionality Spec","Sun Mar 01 16:32:37 UTC 2026","passed","Sun Mar 01 16:32:41 UTC 2026","","","",""
"","6100","should return correct results for a valid search query","Search Functionality Spec","Sun Mar 01 16:32:44 UTC 2026","passed","Sun Mar 01 16:32:50 UTC 2026","","","",""
"","5025","should return a proper message for a non-existing movie","Search Functionality Spec","Sun Mar 01 16:33:00 UTC 2026","passed","Sun Mar 01 16:33:05 UTC 2026","","","",""
"","7","should get the created booking","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","12516","should show error when email not exists","User Access Management Spec","Sun Mar 01 16:34:56 UTC 2026","broken","Sun Mar 01 16:35:09 UTC 2026","","Negative Tests with invalid credentials","",""
"","7","should delete the booking","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","13787","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sun Mar 01 16:32:55 UTC 2026","passed","Sun Mar 01 16:33:09 UTC 2026","","","",""
"","4472","should verify that each result contains a title and a working link","Search Functionality Spec","Sun Mar 01 16:32:55 UTC 2026","passed","Sun Mar 01 16:33:00 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Sun Mar 01 16:35:09 UTC 2026","skipped","Sun Mar 01 16:35:09 UTC 2026","","","",""
"","7","should create a new booking","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","2298","should contain Spanish in the list","Language Functionality Spec","Sun Mar 01 16:32:33 UTC 2026","passed","Sun Mar 01 16:32:36 UTC 2026","","","",""
"","43","should create an auth token","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","3755","should open language selector and display available languages","Language Functionality Spec","Sun Mar 01 16:32:29 UTC 2026","passed","Sun Mar 01 16:32:33 UTC 2026","","","",""
"","7","should update the booking","restful-booker API tests","Sun Mar 01 16:33:11 UTC 2026","passed","Sun Mar 01 16:33:11 UTC 2026","","","",""
"","11701","should filter movies by Number of Votes","Filter Functionality Spec","Sun Mar 01 16:32:43 UTC 2026","passed","Sun Mar 01 16:32:55 UTC 2026","","","",""
"","11621","should filter movie by User Rating","Filter Functionality Spec","Sun Mar 01 16:32:29 UTC 2026","passed","Sun Mar 01 16:32:41 UTC 2026","","","",""
"","12788","should show error when email is missing","User Access Management Spec","Sun Mar 01 16:34:32 UTC 2026","broken","Sun Mar 01 16:34:44 UTC 2026","","Negative Tests with invalid credentials","",""
"","12094","should show error for invalid email format","User Access Management Spec","Sun Mar 01 16:34:44 UTC 2026","broken","Sun Mar 01 16:34:56 UTC 2026","","Negative Tests with invalid credentials","",""
"","3420","should return at least one result for a common search query","Search Functionality Spec","Sun Mar 01 16:32:50 UTC 2026","passed","Sun Mar 01 16:32:54 UTC 2026","","","",""
