"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","should get the created booking","restful-booker API tests","Thu Jan 22 08:38:18 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","80","should update the booking","restful-booker API tests","Thu Jan 22 08:38:18 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","80","should delete the booking","restful-booker API tests","Thu Jan 22 08:38:18 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","11881","should show error for invalid email format","User Access Management Spec","Thu Jan 22 08:39:26 UTC 2026","broken","Thu Jan 22 08:39:38 UTC 2026","","Negative Tests with invalid credentials","",""
"","3660","should open language selector and display available languages","Language Functionality Spec","Thu Jan 22 08:37:09 UTC 2026","passed","Thu Jan 22 08:37:12 UTC 2026","","","",""
"","9066","should filter movie by User Rating","Filter Functionality Spec","Thu Jan 22 08:37:48 UTC 2026","passed","Thu Jan 22 08:37:58 UTC 2026","","","",""
"","12831","should show error when email is missing","User Access Management Spec","Thu Jan 22 08:39:13 UTC 2026","broken","Thu Jan 22 08:39:26 UTC 2026","","Negative Tests with invalid credentials","",""
"","9158","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Thu Jan 22 08:38:06 UTC 2026","passed","Thu Jan 22 08:38:16 UTC 2026","","","",""
"","1781","should contain Spanish in the list","Language Functionality Spec","Thu Jan 22 08:37:12 UTC 2026","passed","Thu Jan 22 08:37:14 UTC 2026","","","",""
"","3142","should change site language to German","Language Functionality Spec","Thu Jan 22 08:37:14 UTC 2026","passed","Thu Jan 22 08:37:17 UTC 2026","","","",""
"","2519","should return a proper message for a non-existing movie","Search Functionality Spec","Thu Jan 22 08:37:44 UTC 2026","passed","Thu Jan 22 08:37:46 UTC 2026","","","",""
"","79","should return 404 when fetching deleted booking","restful-booker API tests","Thu Jan 22 08:38:18 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","324","should create an auth token","restful-booker API tests","Thu Jan 22 08:38:17 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","78","should create a new booking","restful-booker API tests","Thu Jan 22 08:38:18 UTC 2026","passed","Thu Jan 22 08:38:18 UTC 2026","","","",""
"","2778","should return at least one result for a common search query","Search Functionality Spec","Thu Jan 22 08:37:37 UTC 2026","passed","Thu Jan 22 08:37:40 UTC 2026","","","",""
"","4239","should return correct results for a valid search query","Search Functionality Spec","Thu Jan 22 08:37:33 UTC 2026","passed","Thu Jan 22 08:37:37 UTC 2026","","","",""
"","11984","should show error when email not exists","User Access Management Spec","Thu Jan 22 08:39:38 UTC 2026","broken","Thu Jan 22 08:39:50 UTC 2026","","Negative Tests with invalid credentials","",""
"","8865","should filter movies by Number of Votes","Filter Functionality Spec","Thu Jan 22 08:37:58 UTC 2026","passed","Thu Jan 22 08:38:06 UTC 2026","","","",""
"","3284","should verify that each result contains a title and a working link","Search Functionality Spec","Thu Jan 22 08:37:40 UTC 2026","passed","Thu Jan 22 08:37:44 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Thu Jan 22 08:39:50 UTC 2026","skipped","Thu Jan 22 08:39:50 UTC 2026","","","",""
