"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11636","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Fri Dec 19 18:34:25 UTC 2025","passed","Fri Dec 19 18:34:36 UTC 2025","","","",""
"","51","should return 404 when fetching deleted booking","restful-booker API tests","Fri Dec 19 18:34:39 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","223","should create an auth token","restful-booker API tests","Fri Dec 19 18:34:38 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","4014","should show error for invalid email format","User Access Management Spec","Fri Dec 19 18:34:34 UTC 2025","passed","Fri Dec 19 18:34:38 UTC 2025","","Negative Tests with invalid credentials","",""
"","3137","should open language selector and display available languages","Language Functionality Spec","Fri Dec 19 18:34:03 UTC 2025","passed","Fri Dec 19 18:34:06 UTC 2025","","","",""
"","2799","should verify that each result contains a title and a working link","Search Functionality Spec","Fri Dec 19 18:34:22 UTC 2025","passed","Fri Dec 19 18:34:25 UTC 2025","","","",""
"","2598","should return a proper message for a non-existing movie","Search Functionality Spec","Fri Dec 19 18:34:25 UTC 2025","passed","Fri Dec 19 18:34:28 UTC 2025","","","",""
"","0","should login successfully with valid credentials","","Fri Dec 19 18:34:41 UTC 2025","skipped","Fri Dec 19 18:34:41 UTC 2025","","","",""
"","3256","should return at least one result for a common search query","Search Functionality Spec","Fri Dec 19 18:34:19 UTC 2025","passed","Fri Dec 19 18:34:22 UTC 2025","","","",""
"","51","should update the booking","restful-booker API tests","Fri Dec 19 18:34:39 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","4805","should change site language to German","Language Functionality Spec","Fri Dec 19 18:34:08 UTC 2025","passed","Fri Dec 19 18:34:13 UTC 2025","","","",""
"","51","should delete the booking","restful-booker API tests","Fri Dec 19 18:34:39 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","48","should create a new booking","restful-booker API tests","Fri Dec 19 18:34:39 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","50","should get the created booking","restful-booker API tests","Fri Dec 19 18:34:39 UTC 2025","passed","Fri Dec 19 18:34:39 UTC 2025","","","",""
"","12159","should filter movie by User Rating","Filter Functionality Spec","Fri Dec 19 18:34:02 UTC 2025","passed","Fri Dec 19 18:34:15 UTC 2025","","","",""
"","2205","should contain Spanish in the list","Language Functionality Spec","Fri Dec 19 18:34:06 UTC 2025","passed","Fri Dec 19 18:34:08 UTC 2025","","","",""
"","4255","should show error when email is missing","User Access Management Spec","Fri Dec 19 18:34:30 UTC 2025","passed","Fri Dec 19 18:34:34 UTC 2025","","Negative Tests with invalid credentials","",""
"","3078","should show error when email not exists","User Access Management Spec","Fri Dec 19 18:34:38 UTC 2025","passed","Fri Dec 19 18:34:41 UTC 2025","","Negative Tests with invalid credentials","",""
"","4207","should return correct results for a valid search query","Search Functionality Spec","Fri Dec 19 18:34:15 UTC 2025","passed","Fri Dec 19 18:34:19 UTC 2025","","","",""
"","9864","should filter movies by Number of Votes","Filter Functionality Spec","Fri Dec 19 18:34:15 UTC 2025","passed","Fri Dec 19 18:34:25 UTC 2025","","","",""
