"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","should return 404 when fetching deleted booking","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","4042","should return correct results for a valid search query","Search Functionality Spec","Tue Feb 10 07:09:18 UTC 2026","passed","Tue Feb 10 07:09:22 UTC 2026","","","",""
"","11","should get the created booking","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","4801","should change site language to German","Language Functionality Spec","Tue Feb 10 07:09:12 UTC 2026","passed","Tue Feb 10 07:09:16 UTC 2026","","","",""
"","2328","should verify that each result contains a title and a working link","Search Functionality Spec","Tue Feb 10 07:09:27 UTC 2026","passed","Tue Feb 10 07:09:29 UTC 2026","","","",""
"","13393","should filter movie by User Rating","Filter Functionality Spec","Tue Feb 10 07:09:05 UTC 2026","passed","Tue Feb 10 07:09:18 UTC 2026","","","",""
"","3635","should return a proper message for a non-existing movie","Search Functionality Spec","Tue Feb 10 07:09:29 UTC 2026","passed","Tue Feb 10 07:09:33 UTC 2026","","","",""
"","14","should update the booking","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Tue Feb 10 07:11:35 UTC 2026","skipped","Tue Feb 10 07:11:35 UTC 2026","","","",""
"","58","should create an auth token","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","9277","should filter movies by Number of Votes","Filter Functionality Spec","Tue Feb 10 07:09:18 UTC 2026","passed","Tue Feb 10 07:09:28 UTC 2026","","","",""
"","10","should create a new booking","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","11","should delete the booking","restful-booker API tests","Tue Feb 10 07:09:43 UTC 2026","passed","Tue Feb 10 07:09:43 UTC 2026","","","",""
"","12467","should show error when email is missing","User Access Management Spec","Tue Feb 10 07:10:56 UTC 2026","broken","Tue Feb 10 07:11:09 UTC 2026","","Negative Tests with invalid credentials","",""
"","4725","should return at least one result for a common search query","Search Functionality Spec","Tue Feb 10 07:09:22 UTC 2026","passed","Tue Feb 10 07:09:27 UTC 2026","","","",""
"","11607","should show error when email not exists","User Access Management Spec","Tue Feb 10 07:11:23 UTC 2026","broken","Tue Feb 10 07:11:35 UTC 2026","","Negative Tests with invalid credentials","",""
"","1867","should contain Spanish in the list","Language Functionality Spec","Tue Feb 10 07:09:10 UTC 2026","passed","Tue Feb 10 07:09:12 UTC 2026","","","",""
"","14677","should show error for invalid email format","User Access Management Spec","Tue Feb 10 07:11:09 UTC 2026","broken","Tue Feb 10 07:11:23 UTC 2026","","Negative Tests with invalid credentials","",""
"","13423","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Tue Feb 10 07:09:28 UTC 2026","passed","Tue Feb 10 07:09:41 UTC 2026","","","",""
"","4818","should open language selector and display available languages","Language Functionality Spec","Tue Feb 10 07:09:05 UTC 2026","passed","Tue Feb 10 07:09:10 UTC 2026","","","",""
