"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12330","should filter movies by Number of Votes","Filter Functionality Spec","Fri Jan 30 14:37:53 UTC 2026","passed","Fri Jan 30 14:38:06 UTC 2026","","","",""
"","26","should return 404 when fetching deleted booking","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
"","12505","should filter movie by User Rating","Filter Functionality Spec","Fri Jan 30 14:37:41 UTC 2026","passed","Fri Jan 30 14:37:53 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Fri Jan 30 14:40:10 UTC 2026","skipped","Fri Jan 30 14:40:10 UTC 2026","","","",""
"","4395","should return at least one result for a common search query","Search Functionality Spec","Fri Jan 30 14:37:57 UTC 2026","passed","Fri Jan 30 14:38:01 UTC 2026","","","",""
"","4076","should return a proper message for a non-existing movie","Search Functionality Spec","Fri Jan 30 14:38:06 UTC 2026","passed","Fri Jan 30 14:38:10 UTC 2026","","","",""
"","21","should create a new booking","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
"","11467","should show error when email not exists","User Access Management Spec","Fri Jan 30 14:39:59 UTC 2026","broken","Fri Jan 30 14:40:10 UTC 2026","","Negative Tests with invalid credentials","",""
"","12085","should show error for invalid email format","User Access Management Spec","Fri Jan 30 14:39:47 UTC 2026","broken","Fri Jan 30 14:39:59 UTC 2026","","Negative Tests with invalid credentials","",""
"","12561","should show error when email is missing","User Access Management Spec","Fri Jan 30 14:39:34 UTC 2026","broken","Fri Jan 30 14:39:47 UTC 2026","","Negative Tests with invalid credentials","",""
"","113","should create an auth token","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
"","4468","should verify that each result contains a title and a working link","Search Functionality Spec","Fri Jan 30 14:38:01 UTC 2026","passed","Fri Jan 30 14:38:06 UTC 2026","","","",""
"","24","should update the booking","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
"","1760","should contain Spanish in the list","Language Functionality Spec","Fri Jan 30 14:37:45 UTC 2026","passed","Fri Jan 30 14:37:46 UTC 2026","","","",""
"","3432","should change site language to German","Language Functionality Spec","Fri Jan 30 14:37:46 UTC 2026","passed","Fri Jan 30 14:37:50 UTC 2026","","","",""
"","5367","should return correct results for a valid search query","Search Functionality Spec","Fri Jan 30 14:37:52 UTC 2026","passed","Fri Jan 30 14:37:57 UTC 2026","","","",""
"","26","should get the created booking","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
"","11626","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Fri Jan 30 14:38:06 UTC 2026","passed","Fri Jan 30 14:38:17 UTC 2026","","","",""
"","3730","should open language selector and display available languages","Language Functionality Spec","Fri Jan 30 14:37:41 UTC 2026","passed","Fri Jan 30 14:37:45 UTC 2026","","","",""
"","24","should delete the booking","restful-booker API tests","Fri Jan 30 14:38:19 UTC 2026","passed","Fri Jan 30 14:38:19 UTC 2026","","","",""
