"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3270","should change site language to German","Language Functionality Spec","Wed Mar 11 20:37:16 UTC 2026","passed","Wed Mar 11 20:37:19 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Wed Mar 11 20:40:50 UTC 2026","skipped","Wed Mar 11 20:40:50 UTC 2026","","","",""
"","3053","should return at least one result for a common search query","Search Functionality Spec","Wed Mar 11 20:38:39 UTC 2026","passed","Wed Mar 11 20:38:42 UTC 2026","","","",""
"","1516","should contain Spanish in the list","Language Functionality Spec","Wed Mar 11 20:37:14 UTC 2026","passed","Wed Mar 11 20:37:16 UTC 2026","","","",""
"","4242","should return a proper message for a non-existing movie","Search Functionality Spec","Wed Mar 11 20:38:44 UTC 2026","passed","Wed Mar 11 20:38:49 UTC 2026","","","",""
"","5584","should open language selector and display available languages","Language Functionality Spec","Wed Mar 11 20:37:09 UTC 2026","passed","Wed Mar 11 20:37:14 UTC 2026","","","",""
"","2641","should verify that each result contains a title and a working link","Search Functionality Spec","Wed Mar 11 20:38:42 UTC 2026","passed","Wed Mar 11 20:38:44 UTC 2026","","","",""
"","225","should create an auth token","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","53","should delete the booking","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","11796","should filter movies by Number of Votes","Filter Functionality Spec","Wed Mar 11 20:38:36 UTC 2026","broken","Wed Mar 11 20:38:48 UTC 2026","","","",""
"","49","should create a new booking","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","48","should get the created booking","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","49","should return 404 when fetching deleted booking","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","11699","should show error when email not exists","User Access Management Spec","Wed Mar 11 20:40:38 UTC 2026","broken","Wed Mar 11 20:40:50 UTC 2026","","Negative Tests with invalid credentials","",""
"","3365","should return correct results for a valid search query","Search Functionality Spec","Wed Mar 11 20:38:35 UTC 2026","passed","Wed Mar 11 20:38:39 UTC 2026","","","",""
"","49","should update the booking","restful-booker API tests","Wed Mar 11 20:39:01 UTC 2026","passed","Wed Mar 11 20:39:01 UTC 2026","","","",""
"","12281","should show error for invalid email format","User Access Management Spec","Wed Mar 11 20:40:26 UTC 2026","broken","Wed Mar 11 20:40:38 UTC 2026","","Negative Tests with invalid credentials","",""
"","12757","should show error when email is missing","User Access Management Spec","Wed Mar 11 20:40:13 UTC 2026","broken","Wed Mar 11 20:40:26 UTC 2026","","Negative Tests with invalid credentials","",""
"","10848","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Wed Mar 11 20:38:48 UTC 2026","broken","Wed Mar 11 20:38:59 UTC 2026","","","",""
"","10782","should filter movie by User Rating","Filter Functionality Spec","Wed Mar 11 20:38:26 UTC 2026","broken","Wed Mar 11 20:38:36 UTC 2026","","","",""
