"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1590","should contain Spanish in the list","Language Functionality Spec","Tue Jan 06 22:24:57 UTC 2026","passed","Tue Jan 06 22:24:59 UTC 2026","","","",""
"","10977","should filter movie by User Rating","Filter Functionality Spec","Tue Jan 06 22:24:54 UTC 2026","passed","Tue Jan 06 22:25:05 UTC 2026","","","",""
"","9464","should filter movies by Number of Votes","Filter Functionality Spec","Tue Jan 06 22:25:05 UTC 2026","passed","Tue Jan 06 22:25:15 UTC 2026","","","",""
"","17035","should show error for invalid email format","User Access Management Spec","Tue Jan 06 22:26:53 UTC 2026","broken","Tue Jan 06 22:27:10 UTC 2026","","Negative Tests with invalid credentials","",""
"","0","should login successfully with valid credentials","","Tue Jan 06 22:27:22 UTC 2026","skipped","Tue Jan 06 22:27:22 UTC 2026","","","",""
"","59","should create a new booking","restful-booker API tests","Tue Jan 06 22:25:28 UTC 2026","passed","Tue Jan 06 22:25:28 UTC 2026","","","",""
"","3563","should verify that each result contains a title and a working link","Search Functionality Spec","Tue Jan 06 22:25:10 UTC 2026","passed","Tue Jan 06 22:25:13 UTC 2026","","","",""
"","251","should create an auth token","restful-booker API tests","Tue Jan 06 22:25:28 UTC 2026","passed","Tue Jan 06 22:25:28 UTC 2026","","","",""
"","59","should delete the booking","restful-booker API tests","Tue Jan 06 22:25:28 UTC 2026","passed","Tue Jan 06 22:25:29 UTC 2026","","","",""
"","59","should update the booking","restful-booker API tests","Tue Jan 06 22:25:28 UTC 2026","passed","Tue Jan 06 22:25:28 UTC 2026","","","",""
"","11870","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Tue Jan 06 22:25:15 UTC 2026","passed","Tue Jan 06 22:25:27 UTC 2026","","","",""
"","2929","should return at least one result for a common search query","Search Functionality Spec","Tue Jan 06 22:25:07 UTC 2026","passed","Tue Jan 06 22:25:10 UTC 2026","","","",""
"","58","should return 404 when fetching deleted booking","restful-booker API tests","Tue Jan 06 22:25:29 UTC 2026","passed","Tue Jan 06 22:25:29 UTC 2026","","","",""
"","2846","should change site language to German","Language Functionality Spec","Tue Jan 06 22:24:59 UTC 2026","passed","Tue Jan 06 22:25:01 UTC 2026","","","",""
"","3767","should return correct results for a valid search query","Search Functionality Spec","Tue Jan 06 22:25:03 UTC 2026","passed","Tue Jan 06 22:25:07 UTC 2026","","","",""
"","12439","should show error when email is missing","User Access Management Spec","Tue Jan 06 22:26:41 UTC 2026","broken","Tue Jan 06 22:26:53 UTC 2026","","Negative Tests with invalid credentials","",""
"","2462","should return a proper message for a non-existing movie","Search Functionality Spec","Tue Jan 06 22:25:13 UTC 2026","passed","Tue Jan 06 22:25:16 UTC 2026","","","",""
"","2849","should open language selector and display available languages","Language Functionality Spec","Tue Jan 06 22:24:54 UTC 2026","passed","Tue Jan 06 22:24:57 UTC 2026","","","",""
"","12111","should show error when email not exists","User Access Management Spec","Tue Jan 06 22:27:10 UTC 2026","broken","Tue Jan 06 22:27:22 UTC 2026","","Negative Tests with invalid credentials","",""
"","58","should get the created booking","restful-booker API tests","Tue Jan 06 22:25:28 UTC 2026","passed","Tue Jan 06 22:25:28 UTC 2026","","","",""
