"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2824","should verify that each result contains a title and a working link","Search Functionality Spec","Sat Dec 20 04:29:15 UTC 2025","passed","Sat Dec 20 04:29:18 UTC 2025","","","",""
"","10535","should filter movies by Number of Votes","Filter Functionality Spec","Sat Dec 20 04:29:09 UTC 2025","passed","Sat Dec 20 04:29:19 UTC 2025","","","",""
"","2778","should change site language to German","Language Functionality Spec","Sat Dec 20 04:29:02 UTC 2025","passed","Sat Dec 20 04:29:05 UTC 2025","","","",""
"","3961","should return correct results for a valid search query","Search Functionality Spec","Sat Dec 20 04:29:08 UTC 2025","passed","Sat Dec 20 04:29:12 UTC 2025","","","",""
"","1936","should contain Spanish in the list","Language Functionality Spec","Sat Dec 20 04:29:00 UTC 2025","passed","Sat Dec 20 04:29:02 UTC 2025","","","",""
"","37","should return 404 when fetching deleted booking","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","0","should login successfully with valid credentials","","Sat Dec 20 04:29:35 UTC 2025","skipped","Sat Dec 20 04:29:35 UTC 2025","","","",""
"","11507","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sat Dec 20 04:29:19 UTC 2025","passed","Sat Dec 20 04:29:31 UTC 2025","","","",""
"","39","should update the booking","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","11986","should filter movie by User Rating","Filter Functionality Spec","Sat Dec 20 04:28:57 UTC 2025","passed","Sat Dec 20 04:29:09 UTC 2025","","","",""
"","35","should create a new booking","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","194","should create an auth token","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","37","should get the created booking","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","3160","should show error when email not exists","User Access Management Spec","Sat Dec 20 04:29:31 UTC 2025","passed","Sat Dec 20 04:29:35 UTC 2025","","Negative Tests with invalid credentials","",""
"","37","should delete the booking","restful-booker API tests","Sat Dec 20 04:29:34 UTC 2025","passed","Sat Dec 20 04:29:34 UTC 2025","","","",""
"","3148","should return at least one result for a common search query","Search Functionality Spec","Sat Dec 20 04:29:12 UTC 2025","passed","Sat Dec 20 04:29:15 UTC 2025","","","",""
"","3557","should return a proper message for a non-existing movie","Search Functionality Spec","Sat Dec 20 04:29:18 UTC 2025","passed","Sat Dec 20 04:29:21 UTC 2025","","","",""
"","4060","should show error when email is missing","User Access Management Spec","Sat Dec 20 04:29:23 UTC 2025","passed","Sat Dec 20 04:29:27 UTC 2025","","Negative Tests with invalid credentials","",""
"","3133","should open language selector and display available languages","Language Functionality Spec","Sat Dec 20 04:28:57 UTC 2025","passed","Sat Dec 20 04:29:00 UTC 2025","","","",""
"","4028","should show error for invalid email format","User Access Management Spec","Sat Dec 20 04:29:27 UTC 2025","passed","Sat Dec 20 04:29:31 UTC 2025","","Negative Tests with invalid credentials","",""
