"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13320","should show error when email is missing","User Access Management Spec","Tue Apr 21 22:42:50 UTC 2026","broken","Tue Apr 21 22:43:03 UTC 2026","","Negative Tests with invalid credentials","",""
"","3917","should change site language to German","Language Functionality Spec","Tue Apr 21 22:40:24 UTC 2026","passed","Tue Apr 21 22:40:28 UTC 2026","","","",""
"","3458","should open language selector and display available languages","Language Functionality Spec","Tue Apr 21 22:40:19 UTC 2026","passed","Tue Apr 21 22:40:22 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Tue Apr 21 22:43:28 UTC 2026","skipped","Tue Apr 21 22:43:28 UTC 2026","","","",""
"","11353","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Tue Apr 21 22:41:58 UTC 2026","broken","Tue Apr 21 22:42:10 UTC 2026","","","",""
"","3104","should return at least one result for a common search query","Search Functionality Spec","Tue Apr 21 22:41:12 UTC 2026","passed","Tue Apr 21 22:41:15 UTC 2026","","","",""
"","10524","should filter movie by User Rating","Filter Functionality Spec","Tue Apr 21 22:41:37 UTC 2026","broken","Tue Apr 21 22:41:47 UTC 2026","","","",""
"","69","should create a new booking","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","68","should delete the booking","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","69","should update the booking","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","2699","should return a proper message for a non-existing movie","Search Functionality Spec","Tue Apr 21 22:41:18 UTC 2026","passed","Tue Apr 21 22:41:21 UTC 2026","","","",""
"","68","should return 404 when fetching deleted booking","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","4975","should return correct results for a valid search query","Search Functionality Spec","Tue Apr 21 22:41:07 UTC 2026","passed","Tue Apr 21 22:41:12 UTC 2026","","","",""
"","13178","should show error when email not exists","User Access Management Spec","Tue Apr 21 22:43:15 UTC 2026","broken","Tue Apr 21 22:43:28 UTC 2026","","Negative Tests with invalid credentials","",""
"","69","should get the created booking","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","11251","should filter movies by Number of Votes","Filter Functionality Spec","Tue Apr 21 22:41:47 UTC 2026","broken","Tue Apr 21 22:41:58 UTC 2026","","","",""
"","1668","should contain Spanish in the list","Language Functionality Spec","Tue Apr 21 22:40:22 UTC 2026","passed","Tue Apr 21 22:40:24 UTC 2026","","","",""
"","12026","should show error for invalid email format","User Access Management Spec","Tue Apr 21 22:43:03 UTC 2026","broken","Tue Apr 21 22:43:15 UTC 2026","","Negative Tests with invalid credentials","",""
"","283","should create an auth token","restful-booker API tests","Tue Apr 21 22:42:12 UTC 2026","passed","Tue Apr 21 22:42:12 UTC 2026","","","",""
"","2796","should verify that each result contains a title and a working link","Search Functionality Spec","Tue Apr 21 22:41:15 UTC 2026","failed","Tue Apr 21 22:41:18 UTC 2026","","","",""
