"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2872","should change site language to German","Language Functionality Spec","Mon Jan 19 02:03:00 UTC 2026","passed","Mon Jan 19 02:03:03 UTC 2026","","","",""
"","2742","should return at least one result for a common search query","Search Functionality Spec","Mon Jan 19 02:03:09 UTC 2026","passed","Mon Jan 19 02:03:12 UTC 2026","","","",""
"","3721","should return correct results for a valid search query","Search Functionality Spec","Mon Jan 19 02:03:05 UTC 2026","passed","Mon Jan 19 02:03:09 UTC 2026","","","",""
"","12256","should filter movie by User Rating","Filter Functionality Spec","Mon Jan 19 02:02:55 UTC 2026","passed","Mon Jan 19 02:03:08 UTC 2026","","","",""
"","71","should create a new booking","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","11582","should show error when email not exists","User Access Management Spec","Mon Jan 19 02:05:08 UTC 2026","broken","Mon Jan 19 02:05:19 UTC 2026","","Negative Tests with invalid credentials","",""
"","71","should delete the booking","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","69","should return 404 when fetching deleted booking","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","13301","should show error for invalid email format","User Access Management Spec","Mon Jan 19 02:04:55 UTC 2026","broken","Mon Jan 19 02:05:08 UTC 2026","","Negative Tests with invalid credentials","",""
"","70","should get the created booking","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","9915","should filter movies by Number of Votes","Filter Functionality Spec","Mon Jan 19 02:03:08 UTC 2026","passed","Mon Jan 19 02:03:18 UTC 2026","","","",""
"","9202","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Mon Jan 19 02:03:19 UTC 2026","passed","Mon Jan 19 02:03:28 UTC 2026","","","",""
"","70","should update the booking","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","316","should create an auth token","restful-booker API tests","Mon Jan 19 02:03:30 UTC 2026","passed","Mon Jan 19 02:03:30 UTC 2026","","","",""
"","12346","should show error when email is missing","User Access Management Spec","Mon Jan 19 02:04:42 UTC 2026","broken","Mon Jan 19 02:04:55 UTC 2026","","Negative Tests with invalid credentials","",""
"","2863","should verify that each result contains a title and a working link","Search Functionality Spec","Mon Jan 19 02:03:12 UTC 2026","passed","Mon Jan 19 02:03:15 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Mon Jan 19 02:05:19 UTC 2026","skipped","Mon Jan 19 02:05:19 UTC 2026","","","",""
"","3303","should open language selector and display available languages","Language Functionality Spec","Mon Jan 19 02:02:55 UTC 2026","passed","Mon Jan 19 02:02:59 UTC 2026","","","",""
"","3406","should return a proper message for a non-existing movie","Search Functionality Spec","Mon Jan 19 02:03:15 UTC 2026","passed","Mon Jan 19 02:03:18 UTC 2026","","","",""
"","1503","should contain Spanish in the list","Language Functionality Spec","Mon Jan 19 02:02:59 UTC 2026","passed","Mon Jan 19 02:03:00 UTC 2026","","","",""
