"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","should create a new booking","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","21","should update the booking","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","9","should return 404 when fetching deleted booking","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","65","should create an auth token","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","3369","should return a proper message for a non-existing movie","Search Functionality Spec","Tue Apr 14 15:16:41 UTC 2026","passed","Tue Apr 14 15:16:45 UTC 2026","","","",""
"","2518","should change site language to German","Language Functionality Spec","Tue Apr 14 15:15:46 UTC 2026","passed","Tue Apr 14 15:15:49 UTC 2026","","","",""
"","3257","should verify that each result contains a title and a working link","Search Functionality Spec","Tue Apr 14 15:16:38 UTC 2026","failed","Tue Apr 14 15:16:41 UTC 2026","","","",""
"","11352","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Tue Apr 14 15:17:21 UTC 2026","broken","Tue Apr 14 15:17:32 UTC 2026","","","",""
"","0","should login successfully with valid credentials","","Tue Apr 14 15:18:51 UTC 2026","skipped","Tue Apr 14 15:18:51 UTC 2026","","","",""
"","13334","should show error when email is missing","User Access Management Spec","Tue Apr 14 15:18:14 UTC 2026","broken","Tue Apr 14 15:18:27 UTC 2026","","Negative Tests with invalid credentials","",""
"","3015","should return at least one result for a common search query","Search Functionality Spec","Tue Apr 14 15:16:35 UTC 2026","passed","Tue Apr 14 15:16:38 UTC 2026","","","",""
"","5355","should return correct results for a valid search query","Search Functionality Spec","Tue Apr 14 15:16:30 UTC 2026","passed","Tue Apr 14 15:16:35 UTC 2026","","","",""
"","10","should delete the booking","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","9","should get the created booking","restful-booker API tests","Tue Apr 14 15:17:34 UTC 2026","passed","Tue Apr 14 15:17:34 UTC 2026","","","",""
"","3525","should open language selector and display available languages","Language Functionality Spec","Tue Apr 14 15:15:41 UTC 2026","passed","Tue Apr 14 15:15:45 UTC 2026","","","",""
"","10486","should filter movie by User Rating","Filter Functionality Spec","Tue Apr 14 15:16:59 UTC 2026","broken","Tue Apr 14 15:17:10 UTC 2026","","","",""
"","12267","should show error when email not exists","User Access Management Spec","Tue Apr 14 15:18:39 UTC 2026","broken","Tue Apr 14 15:18:51 UTC 2026","","Negative Tests with invalid credentials","",""
"","1446","should contain Spanish in the list","Language Functionality Spec","Tue Apr 14 15:15:45 UTC 2026","passed","Tue Apr 14 15:15:46 UTC 2026","","","",""
"","10926","should filter movies by Number of Votes","Filter Functionality Spec","Tue Apr 14 15:17:10 UTC 2026","broken","Tue Apr 14 15:17:21 UTC 2026","","","",""
"","12098","should show error for invalid email format","User Access Management Spec","Tue Apr 14 15:18:27 UTC 2026","broken","Tue Apr 14 15:18:39 UTC 2026","","Negative Tests with invalid credentials","",""
