"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14206","should filter movie by User Rating","Filter Functionality Spec","Sun Dec 21 08:29:47 UTC 2025","passed","Sun Dec 21 08:30:01 UTC 2025","","","",""
"","4840","should verify that each result contains a title and a working link","Search Functionality Spec","Sun Dec 21 08:30:06 UTC 2025","passed","Sun Dec 21 08:30:10 UTC 2025","","","",""
"","11655","should filter movies by Number of Votes","Filter Functionality Spec","Sun Dec 21 08:30:01 UTC 2025","passed","Sun Dec 21 08:30:13 UTC 2025","","","",""
"","2604","should return a proper message for a non-existing movie","Search Functionality Spec","Sun Dec 21 08:30:10 UTC 2025","passed","Sun Dec 21 08:30:13 UTC 2025","","","",""
"","10","should return 404 when fetching deleted booking","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","3670","should show error for invalid email format","User Access Management Spec","Sun Dec 21 08:30:20 UTC 2025","passed","Sun Dec 21 08:30:24 UTC 2025","","Negative Tests with invalid credentials","",""
"","3571","should open language selector and display available languages","Language Functionality Spec","Sun Dec 21 08:29:47 UTC 2025","passed","Sun Dec 21 08:29:51 UTC 2025","","","",""
"","2527","should return at least one result for a common search query","Search Functionality Spec","Sun Dec 21 08:30:03 UTC 2025","passed","Sun Dec 21 08:30:06 UTC 2025","","","",""
"","59","should create an auth token","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","11","should create a new booking","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","1880","should contain Spanish in the list","Language Functionality Spec","Sun Dec 21 08:29:51 UTC 2025","passed","Sun Dec 21 08:29:52 UTC 2025","","","",""
"","4346","should return correct results for a valid search query","Search Functionality Spec","Sun Dec 21 08:29:59 UTC 2025","passed","Sun Dec 21 08:30:03 UTC 2025","","","",""
"","0","should login successfully with valid credentials","","Sun Dec 21 08:30:28 UTC 2025","skipped","Sun Dec 21 08:30:28 UTC 2025","","","",""
"","4792","should show error when email is missing","User Access Management Spec","Sun Dec 21 08:30:15 UTC 2025","passed","Sun Dec 21 08:30:20 UTC 2025","","Negative Tests with invalid credentials","",""
"","11","should update the booking","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","10","should get the created booking","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","4022","should show error when email not exists","User Access Management Spec","Sun Dec 21 08:30:24 UTC 2025","passed","Sun Dec 21 08:30:28 UTC 2025","","Negative Tests with invalid credentials","",""
"","10","should delete the booking","restful-booker API tests","Sun Dec 21 08:30:29 UTC 2025","passed","Sun Dec 21 08:30:29 UTC 2025","","","",""
"","3846","should change site language to German","Language Functionality Spec","Sun Dec 21 08:29:52 UTC 2025","passed","Sun Dec 21 08:29:56 UTC 2025","","","",""
"","13969","should check the first movie when IMDb rating is sorted in descending order","Filter Functionality Spec","Sun Dec 21 08:30:13 UTC 2025","passed","Sun Dec 21 08:30:27 UTC 2025","","","",""
